m_id,me_id,employment_status,eff_dt
48325,178784,Entered Old DROP,2017-01-13
63942,154012,Service Start,1988-10-17
103543,172158,Entered Old DROP,2016-12-21
111506,156536,Service Start,2008-06-02
85752,240398,Service Start,1998-05-18
12766,175458,Service Start,1992-08-22
91869,211972,Service Start,1988-10-17
56847,147292,Service Start,2000-09-11
28419,220616,Service Start,1995-06-12
17756,193740,Service Start,2004-12-06
52771,200862,Service Start,1999-09-13
113522,186485,Service Start,2003-03-23
43914,212169,Service Start,2001-05-21
33266,183684,Service Start,2016-06-20
35244,180486,Service Start,1999-06-11
77974,186212,Service Start,2007-07-01
18045,140397,Service Start,2005-12-16
62902,193992,Entered Old DROP,2014-10-29
99340,226058,Service Start,1997-09-09
83978,175732,Service Start,2003-09-08
102019,146629,Entered Old DROP,2016-05-08
96758,164028,Service Start,2004-12-18
89643,252340,Service Start,2001-04-01
52447,257373,Service Start,2007-07-09
120563,139443,Service Start,2005-08-01
108823,235245,Service Start,2000-08-28
11990,157087,Entered Old DROP,2017-04-26
91885,219319,Entered Old DROP,2014-06-25
8742,209503,Service Start,1999-09-26
20411,212234,Service Start,1998-11-22
44978,179743,Service Start,2012-05-29
28104,162719,Service Start,2007-05-21
64719,251960,Entered Old DROP,2017-01-31
119494,246074,Service Start,2003-08-18
34289,147300,Service Start,2002-01-01
112008,154097,Service Start,2003-06-02
89242,224946,Service Start,2007-07-01
3831,227705,Entered Old DROP,2014-10-31
46140,200831,Service Start,2008-05-19
120589,133725,Service Start,2007-10-05
69088,190007,Service Start,2001-11-26
21541,186238,Service Start,1991-03-04
36507,151367,Service Start,1986-09-02
20431,166346,Service Start,2004-10-14
101900,262358,Service Start,1999-07-26
27077,213932,Service Start,2001-05-21
41931,234520,Entered Old DROP,2013-03-31
19439,182262,Service Start,2002-08-17
67554,266510,Service Start,2001-01-02
32323,210673,Service Start,1994-05-02
2500,177707,Service Start,1999-03-01
86628,174889,Entered Old DROP,2014-10-31
121037,252612,Service Start,2001-01-08
64051,159441,Service Start,1999-10-18
716,218507,Service Start,1991-02-04
74547,199531,Service Start,1992-03-16
55032,265261,Service Start,2006-07-25
109092,190616,Service Start,2012-04-28
75570,206390,Service Start,1998-10-12
103123,216663,Service Start,2007-12-29
73465,255831,Service Start,2009-03-23
55883,216379,Entered Reverse DROP,2017-01-01
75892,219081,Service Start,2004-04-26
95259,244211,Service Start,2017-01-16
78363,248741,Service Start,2009-08-03
95237,240877,Service Start,2016-09-19
87952,163769,Service Start,2015-09-07
81364,159369,Service Start,2011-08-11
68090,166897,Service Start,2007-04-16
123468,169941,Service Start,2015-10-05
61940,129077,Service Start,2007-03-19
87546,197190,Service Start,2017-01-12
91647,165841,Service Start,2015-07-13
64025,158688,Service Start,2017-04-17
97174,209168,Service Start,2017-05-08
26493,195561,Service Start,2011-10-11
36463,230223,Service Start,2015-09-21
38576,227855,Service Start,2010-02-22
44228,241329,Service Start,2012-01-23
56584,141560,Service Start,2014-07-28
106228,264921,Service Start,2016-11-14
121268,144705,Service Start,2017-05-22
15841,219898,Service Start,2015-03-28
27206,252730,Service Start,2005-08-01
56976,219078,Service Start,2014-12-01
66732,249121,Service Start,2016-06-13
4375,251004,Service Start,2010-05-24
58637,216823,Service Start,2013-05-20
2341,147628,Service Start,2016-05-02
16810,183915,Service Start,2013-12-30
11643,252210,Service Start,2016-01-19
109615,259137,Service Start,2017-07-01
4603,254489,Service Start,2017-07-01
78245,215838,Service Start,2017-07-01
47155,136033,Service Start,2017-07-01
48221,234166,Service Start,2017-07-01
7280,172220,Service Start,2017-07-01
79092,146157,Service Start,2017-07-01
77946,156406,Service Start,2017-07-01
91373,186175,Service Start,2017-07-01
62705,154853,Service Start,2017-07-01
121777,163262,Service Start,2017-06-26
71919,162198,Service Start,2017-06-19
119985,219502,Hired,2017-06-26
17831,263472,Service Start,2017-06-19
6890,201465,Service Start,2017-06-20
85091,140155,Service Start,2017-06-18
33650,253558,Service Start,2017-06-19
22111,179189,Service Start,2017-06-26
108217,175404,Service Start,2017-05-28
101365,150727,Service Start,2016-07-25
81531,150462,Service Start,2016-09-20
113177,245925,Leave Without Pay,2017-06-25
109641,221606,Hired - Return to Work,2012-08-03
67677,261762,Service Start,1996-08-16
61257,214730,Service Start,2007-07-30
38030,165190,Entered Old DROP,2017-02-28
17523,229721,Service Start,1997-02-17
48493,266186,Service Start,2007-08-27
108681,157632,Service Start,2004-01-05
101378,128903,Service Start,2016-07-01
122429,221075,Service Start,2015-06-30
85999,190417,Service Start,2017-02-13
4324,224399,Service Start,2016-06-06
4631,246683,Service Start,2002-07-22
88715,133070,Entered Old DROP,2013-09-26
98297,216790,Service Start,2001-06-25
28496,173754,Service Start,2008-01-14
32562,209560,Service Start,2007-07-01
118637,265367,Service Start,2003-01-14
5700,181097,Service Start,1999-09-06
21190,152409,Entered Old DROP,2013-10-31
14166,164602,Entered Old DROP,2017-06-30
16843,180416,Service Start,1987-02-17
116135,196716,Entered Old DROP,2017-06-30
1220,248001,Entered Old DROP,2016-01-16
102211,181155,Entered Old DROP,2015-07-31
102673,244929,Service Start,2008-01-12
52781,168533,Service Start,1996-11-07
92536,134229,Entered Old DROP,2014-06-30
28721,228978,Leave Without Pay,2015-02-06
10431,218960,Service Start,2001-04-29
72128,194453,Entered Old DROP,2013-09-30
4024,255408,Service Start,1995-11-27
118543,221061,Entered Reverse DROP,2017-07-01
5987,236066,Service Start,1993-10-04
18176,240016,Entered Old DROP,2015-02-21
109913,129727,Service Start,2001-12-01
113491,265098,Service Start,2016-07-01
57758,208171,Service Start,1999-09-12
9797,174685,Hired - Return to Work,2011-07-10
42986,158841,Service Start,1999-03-16
29831,195474,Service Start,2012-07-09
3998,232301,Entered Old DROP,2013-01-31
30691,162850,Service Start,1997-05-26
75050,265183,Service Start,1998-08-21
7189,223217,Service Start,1995-06-29
48776,172475,Service Start,2013-10-18
120561,197866,Entered Old DROP,2016-07-31
80613,222471,Service Start,2000-02-14
52830,250303,Service Start,1999-05-14
122293,170302,Service Start,2000-04-16
91287,251798,Service Start,1999-01-10
63465,180311,Service Start,2000-12-03
31599,163803,Service Start,1999-05-17
108300,194953,Service Start,2003-08-18
113658,260977,Service Start,1995-04-01
65898,162602,Service Start,2004-06-08
10609,184212,Service Start,2002-05-06
30488,173349,Service Start,2013-05-11
116705,168551,Service Start,2011-01-03
34328,166924,Entered Old DROP,2013-03-21
12282,162586,Service Start,2016-07-05
79816,138069,Service Start,1994-10-03
91028,213602,Service Start,1995-03-27
9020,194029,Entered Old DROP,2015-06-29
114226,222374,Service Start,1997-11-24
61150,229883,Service Start,2001-02-12
100066,227878,Service Start,2003-02-01
108770,232555,Service Start,1991-11-18
11760,222977,Service Start,1994-01-03
60914,192834,Service Start,1997-02-10
13698,159933,Service Start,2001-01-08
57959,264281,Service Start,1996-05-20
55767,211563,Service Start,1986-08-08
29367,233192,Service Start,2008-10-20
95936,173847,Service Start,1990-02-05
56549,186512,Service Start,1998-09-28
43584,149880,Service Start,1998-05-18
71345,177692,Service Start,1993-04-10
68225,197847,Service Start,1996-09-30
62007,214060,Service Start,2000-02-27
59079,209373,Service Start,2007-07-01
69036,236658,Entered Old DROP,2014-09-30
103984,160798,Service Start,2001-08-04
55277,125660,Service Start,2001-11-20
6809,204685,Entered Old DROP,2013-12-25
67038,203860,Service Start,2010-11-15
40784,208705,Leave Without Pay,2017-07-01
7424,151676,Service Start,2005-07-01
92174,202991,Service Start,2003-03-15
118997,150559,Entered Old DROP,2016-08-04
34493,251567,Service Start,1999-07-26
119829,220571,Service Start,1994-07-01
60541,255986,Service Start,1993-06-28
98786,149121,Service Start,1995-06-12
57300,261621,Entered Old DROP,2017-03-01
104304,151699,Service Start,2007-04-02
53475,136320,Service Start,2002-09-16
93124,129008,Entered Old DROP,2016-01-30
59706,163579,Service Start,1997-08-03
31725,140443,Service Start,2001-05-14
25972,234619,Service Start,1989-12-23
33113,211988,Service Start,1998-08-10
67032,188770,Service Start,2005-07-01
50909,232324,Service Start,2001-08-08
8916,226551,Service Start,2007-04-23
10553,187540,Entered Old DROP,2012-12-31
58984,127828,Service Start,2003-01-12
23317,223325,Entered Old DROP,2014-02-28
4056,242481,Service Start,2005-10-03
10845,260247,Service Start,2017-05-22
81100,126406,Service Start,2006-12-11
52103,248937,Service Start,2003-12-01
75175,133445,Service Start,1994-06-13
110186,193421,Service Start,1997-05-19
24567,203358,Service Start,2007-02-04
85797,234324,Service Start,1999-05-10
116494,158018,Service Start,2017-03-21
67432,134199,Service Start,2006-10-09
81882,181429,Service Start,2015-01-21
75891,264478,Service Start,2016-05-16
75295,149419,Service Start,2010-03-22
29862,242034,Service Start,2013-10-21
122782,205781,Service Start,2015-10-12
14722,176323,Service Start,2012-08-27
9408,209417,Service Start,2015-07-05
104212,229868,Service Start,2011-09-19
2623,260431,Service Start,2007-08-25
120993,239960,Service Start,2016-01-11
67616,210087,Service Start,2017-02-20
105003,154646,Service Start,2014-11-17
76151,205769,Service Start,2016-12-28
76436,259148,Service Start,2014-05-12
58827,225974,Service Start,2007-10-22
64862,241718,Service Start,2015-02-23
91092,254195,Service Start,2015-09-07
38382,259510,Service Start,2007-01-08
28799,179213,Service Start,2015-03-23
7859,259018,Service Start,2014-07-14
73247,199379,Hired - Return to Work,2017-04-21
85021,188256,Service Start,2017-07-01
56032,181662,Service Start,2017-07-01
106521,184605,Service Start,2017-07-01
9357,131522,Service Start,2017-07-01
70266,137898,Service Start,2017-07-01
112089,204573,Entered Old DROP,2017-07-01
9951,163737,Hired,2017-06-26
93341,159866,Service Start,2017-06-20
16173,237190,Service Start,2017-06-26
106101,132760,Service Start,2017-06-19
14911,145874,Service Start,2017-06-19
110246,147138,Service Start,2017-06-26
96968,207067,Service Start,2017-06-20
121930,166427,Service Start,2017-06-26
109268,241404,Service Start,2017-06-20
28107,172819,Service Start,2017-06-26
39735,208353,Service Start,2017-05-01
88035,251891,Service Start,2017-05-22
44813,240146,Service Start,2017-01-10
4535,229279,Service Start,2008-11-04
65139,250524,Service Start,2016-10-22
428,196133,Hired - Return to Work,2013-03-15
75069,239015,Hired - Return to Work,2012-08-03
106721,159869,Hired - Return to Work,2013-03-01
39569,256105,Service Start,2005-08-14
93399,258149,Service Start,2007-06-09
43979,216751,Service Start,2009-08-02
119223,128262,Entered Old DROP,2014-05-01
87351,262206,Service Start,1998-11-22
113607,258834,Service Start,2004-07-12
17828,254377,Service Start,2003-09-15
16754,192239,Service Start,2016-08-29
24755,139642,Service Start,2002-01-28
16604,265070,Service Start,2007-07-01
26793,188931,Service Start,1999-08-23
46796,224910,Service Start,1999-11-29
4128,218951,Service Start,2005-12-12
97216,234026,Service Start,2004-07-25
106818,136551,Service Start,2006-06-26
62982,219786,Service Start,2006-07-01
85621,257474,Service Start,2007-07-01
36380,202521,Entered Old DROP,2013-03-26
89306,164540,Service Start,2005-08-01
5022,250522,Entered Old DROP,2014-06-30
21937,129261,Service Start,2005-07-25
63583,240737,Entered Old DROP,2016-01-15
81065,186470,Hired - Return to Work,2011-07-24
87940,226377,Service Start,2007-07-01
6440,210992,Service Start,1999-04-25
54888,226696,Service Start,2007-07-01
32062,127054,Entered Old DROP,2014-10-29
